exception_class,customer_id,customer_name,billing_period,amount_billed,expected_for_period,drift_pct,direction,note,priority
Class4_InvoiceDrift,ATC-00021,Cascade Insurance Group,2024-04,"235,627.61","289,983.98",-18.7%,UNDER,"Billed 18.7% under expected. Check for overage, credit, or billing error.",MEDIUM
Class4_InvoiceDrift,ATC-00004,Pioneer Benefits Co.,2024-04,"51,249.15","73,778.11",-30.5%,UNDER,"Billed 30.5% under expected. Check for overage, credit, or billing error.",HIGH
Class4_InvoiceDrift,ATC-00039,Union Square Benefits,2024-04,"137,852.42","124,621.34",+10.6%,OVER,"Billed 10.6% over expected. Check for overage, credit, or billing error.",MEDIUM
Class4_InvoiceDrift,ATC-00012,Ironbridge Benefit,2024-04,"48,750.32","38,000.00",+28.3%,OVER,"Billed 28.3% over expected. Check for overage, credit, or billing error.",HIGH
Class4_InvoiceDrift,ATC-00081,Kestrel Insurance Network,2024-04,"57,531.64","73,819.81",-22.1%,UNDER,"Billed 22.1% under expected. Check for overage, credit, or billing error.",MEDIUM
Class1_NoBillingContract,ATC-ZZZZZ,Sunnyside Mutual Holdings,2024-04,"99,427.28",,,,Possible name match: 'Riverdale Mutual Holdings' (similarity 76%),HIGH
Class1_NoBillingContract,ATC-ZZZZZ,Brookfield Insurance Trust,2024-04,"87,071.17",,,,Possible name match: 'Verdant Insurance Trust' (similarity 73%),HIGH
Class1_NoBillingContract,ATC-ZZZZZ,Ridgemont Life Systems,2024-04,"84,765.84",,,,Possible name match: 'Yosemite Life Systems' (similarity 74%),HIGH
Class1_NoBillingContract,ATC-ZZZZZ,Copperview Life Services,2024-04,"81,611.66",,,,Possible name match: 'Pinehurst Life Services' (similarity 72%),HIGH
Class1_NoBillingContract,ATC-ZZZZZ,Westfield Annuity Group,2024-04,"75,116.30",,,,No close contract name match found.,HIGH
Class1_NoBillingContract,ATC-ZZZZZ,Marlborough Benefits Inc.,2024-04,"69,228.44",,,,Possible name match: 'Thornwood Benefits Inc.' (similarity 71%),HIGH
Class1_NoBillingContract,ATC-ZZZZZ,Millstone Insurance Partners,2024-04,"67,862.75",,,,Possible name match: 'Kirkland Insurance Partners' (similarity 80%),HIGH
Class4_InvoiceDrift,ATC-00032,Northfield Insurance Co.,2024-04,"63,325.17","70,705.79",-10.4%,UNDER,"Billed 10.4% under expected. Check for overage, credit, or billing error.",MEDIUM
