rank,exception_class,class_label,customer_id,customer_name,billing_period,amount_billed,priority_score,impact_score,confidence_score,recency_score,repeat_score,note,priority,recommended_action
1,Class2_StaleContract,Stale Contract,ATC-00101,Evergreen Insurance Partners,2024-04,"516,721.70",85.5,100,85,100,0,Contract expired — renegotiation may unlock higher rates.,MEDIUM,"Contract has expired. Confirm with the account owner whether to renew, renegotiate at current rates, or stop billing."
2,Class2_StaleContract,Stale Contract,ATC-00034,Pacific Crest Insurance,2024-04,"366,543.71",72.4,71,85,100,0,Contract expired — renegotiation may unlock higher rates.,MEDIUM,"Contract has expired. Confirm with the account owner whether to renew, renegotiate at current rates, or stop billing."
3,Class1_NoBillingContract,No Contract,ATC-ZZZZZ,Sunnyside Mutual Holdings,2024-04,"99,427.28",62.1,19,95,100,100,Possible name match: 'Riverdale Mutual Holdings' (similarity 76%),HIGH,"No contract found for this customer. Check CRM and Salesforce for an active contract or engagement letter. If none exists, stop billing or create a contract."
4,Class1_NoBillingContract,No Contract,ATC-ZZZZZ,Brookfield Insurance Trust,2024-04,"87,071.17",61.1,17,95,100,100,Possible name match: 'Verdant Insurance Trust' (similarity 73%),HIGH,"No contract found for this customer. Check CRM and Salesforce for an active contract or engagement letter. If none exists, stop billing or create a contract."
5,Class1_NoBillingContract,No Contract,ATC-ZZZZZ,Ridgemont Life Systems,2024-04,"84,765.84",60.9,16,95,100,100,Possible name match: 'Yosemite Life Systems' (similarity 74%),HIGH,"No contract found for this customer. Check CRM and Salesforce for an active contract or engagement letter. If none exists, stop billing or create a contract."
6,Class1_NoBillingContract,No Contract,ATC-ZZZZZ,Copperview Life Services,2024-04,"81,611.66",60.6,16,95,100,100,Possible name match: 'Pinehurst Life Services' (similarity 72%),HIGH,"No contract found for this customer. Check CRM and Salesforce for an active contract or engagement letter. If none exists, stop billing or create a contract."
7,Class1_NoBillingContract,No Contract,ATC-ZZZZZ,Westfield Annuity Group,2024-04,"75,116.30",60.0,14,95,100,100,No close contract name match found.,HIGH,"No contract found for this customer. Check CRM and Salesforce for an active contract or engagement letter. If none exists, stop billing or create a contract."
8,Class1_NoBillingContract,No Contract,ATC-ZZZZZ,Marlborough Benefits Inc.,2024-04,"69,228.44",59.5,13,95,100,100,Possible name match: 'Thornwood Benefits Inc.' (similarity 71%),HIGH,"No contract found for this customer. Check CRM and Salesforce for an active contract or engagement letter. If none exists, stop billing or create a contract."
9,Class1_NoBillingContract,No Contract,ATC-ZZZZZ,Millstone Insurance Partners,2024-04,"67,862.75",59.4,13,95,100,100,Possible name match: 'Kirkland Insurance Partners' (similarity 80%),HIGH,"No contract found for this customer. Check CRM and Salesforce for an active contract or engagement letter. If none exists, stop billing or create a contract."
10,Class4_InvoiceDrift,Invoice Drift,ATC-00021,Cascade Insurance Group,2024-04,"235,627.61",58.0,46,75,100,0,"Billed 18.7% under expected. Check for overage, credit, or billing error.",MEDIUM,"Invoice amount deviates from expected. Reconcile against contract terms and check for missed overage reporting, credits, or manual adjustments."
11,Class1_NoBillingContract,No Contract,ATC-ZZZZZ,Thornfield Policy Services,2024-04,"49,421.54",57.8,10,95,100,100,Possible name match: 'Thornbury Policy Services' (similarity 82%),HIGH,"No contract found for this customer. Check CRM and Salesforce for an active contract or engagement letter. If none exists, stop billing or create a contract."
12,Class1_NoBillingContract,No Contract,ATC-ZZZZZ,Greenlawn Benefits Co.,2024-04,"41,493.26",57.1,8,95,100,100,Possible name match: 'Pioneer Benefits Co.' (similarity 71%),HIGH,"No contract found for this customer. Check CRM and Salesforce for an active contract or engagement letter. If none exists, stop billing or create a contract."
13,Class1_NoBillingContract,No Contract,ATC-ZZZZZ,Cloverdale Insurance Group,2024-04,"24,276.12",55.6,5,95,100,100,Possible name match: 'Cascade Insurance Group' (similarity 78%),HIGH,"No contract found for this customer. Check CRM and Salesforce for an active contract or engagement letter. If none exists, stop billing or create a contract."
14,Class2_StaleContract,Stale Contract,ATC-00051,Glenwood Mutual Services,2024-04,"167,020.37",55.0,32,85,100,0,Contract expired — renegotiation may unlock higher rates.,MEDIUM,"Contract has expired. Confirm with the account owner whether to renew, renegotiate at current rates, or stop billing."
15,Class1_NoBillingContract,No Contract,ATC-ZZZZZ,Riverton Life Partners,2024-04,"10,517.45",54.4,2,95,100,100,Possible name match: 'Upton Life Partners' (similarity 83%),HIGH,"No contract found for this customer. Check CRM and Salesforce for an active contract or engagement letter. If none exists, stop billing or create a contract."
16,Class1_NoBillingContract,No Contract,ATC-ZZZZZ,Fairfield Policy Trust,2024-04,"8,127.59",54.2,2,95,100,100,No close contract name match found.,HIGH,"No contract found for this customer. Check CRM and Salesforce for an active contract or engagement letter. If none exists, stop billing or create a contract."
17,Class4_InvoiceDrift,Invoice Drift,ATC-00039,Union Square Benefits,2024-04,"137,852.42",49.5,27,75,100,0,"Billed 10.6% over expected. Check for overage, credit, or billing error.",MEDIUM,"Invoice amount deviates from expected. Reconcile against contract terms and check for missed overage reporting, credits, or manual adjustments."
18,Class2_StaleContract,Stale Contract,ATC-00037,Silvergate Insurance,2024-04,"81,277.89",47.6,16,85,100,0,Contract expired — renegotiation may unlock higher rates.,MEDIUM,"Contract has expired. Confirm with the account owner whether to renew, renegotiate at current rates, or stop billing."
19,Class2_StaleContract,Stale Contract,ATC-00114,Ravenwood Life Partners,2024-04,"76,297.92",47.2,15,85,100,0,Contract expired — renegotiation may unlock higher rates.,MEDIUM,"Contract has expired. Confirm with the account owner whether to renew, renegotiate at current rates, or stop billing."
20,Class2_StaleContract,Stale Contract,ATC-00055,Kirkland Insurance Partners,2024-04,"73,977.06",46.9,14,85,100,0,Contract expired — renegotiation may unlock higher rates.,MEDIUM,"Contract has expired. Confirm with the account owner whether to renew, renegotiate at current rates, or stop billing."
21,Class4_InvoiceDrift,Invoice Drift,ATC-00012,Ironbridge Benefit,2024-04,"48,750.32",46.7,9,75,100,50,"Billed 28.3% over expected. Check for overage, credit, or billing error.",HIGH,"Invoice amount deviates from expected. Reconcile against contract terms and check for missed overage reporting, credits, or manual adjustments."
22,Class4_InvoiceDrift,Invoice Drift,ATC-00032,Northfield Insurance Co.,2024-04,"63,325.17",43.0,12,75,100,0,"Billed 10.4% under expected. Check for overage, credit, or billing error.",MEDIUM,"Invoice amount deviates from expected. Reconcile against contract terms and check for missed overage reporting, credits, or manual adjustments."
