customer_id,customer_name,deployment_type,environment,billing_basis,status,currency,base_fee,base_quantity,band1_rate,transaction_multiplier,term_start,term_end,expected_annual_revenue
ATC-00001,Northstar Insurance Group,SaaS,eSign,Annually,Active,USD,88000.0,396493,0.225,1.15,2021-06-12,2026-07-07,102470.6
ATC-00002,Northstar Insurance Group,On-Prem,On-Prem,Annually,Active,USD,186100.0,1142059,0.403,1.37,2021-02-11,2026-11-10,358031.51
ATC-00003,Harbor Life Systems,On-Prem,On-Prem,Annually_in_arrears,Active,USD,33800.0,47758,0.78,1.65,2020-11-04,2026-07-07,60526.23
ATC-00004,Pioneer Benefits Co.,SaaS,eSign,Annually,Active,USD,52300.0,18390,1.449,1.3,2022-09-29,2026-04-18,73778.11
ATC-00005,Summit Policy Services,Embedded,eSign,Annually,Active,USD,12400.0,10133,1.885,1.21,2021-08-30,2026-02-25,18188.81
ATC-00006,Keystone Admin Solutions,On-Prem,On-Prem,Annually,Active,USD,64100.0,27916,1.612,1.8,2021-01-18,2025-12-20,112416.73
ATC-00007,Atlas Brokerage Network,SaaS,Pronto2,Annually,Active,USD,35900.0,61921,1.371,1.55,2022-09-17,2025-10-14,118569.44
ATC-00008,Meridian Life & Casualty,SaaS,eSign,Annually,Active,USD,215100.0,713405,0.198,1.07,2021-03-13,2025-10-23,284811.2
ATC-00009,Meridian Life & Casualty,On-Prem,On-Prem,Annually,Active,USD,253200.0,1967588,0.489,0.84,2021-08-20,2025-12-11,364930.38
ATC-00010,Lakewood Financial Group,SaaS,eSign,Annually_in_arrears,Active,USD,1000.0,14960,1.943,2.65,2022-07-05,2026-01-30,58656.65
ATC-00011,Crestview Insurance Partners,SaaS,Pronto2,Annually,Active,USD,42100.0,76436,0.682,1.62,2022-07-16,2027-02-18,92626.75
ATC-00012,Ironbridge Benefits,On-Prem,On-Prem,Annually_in_arrears,Active,USD,38000.0,64493,1.797,0.71,2022-05-10,2026-12-19,38000.0
ATC-00013,Stillwater Mutual,SaaS,eSign,Annually_in_arrears,Active,USD,238700.0,1861110,0.447,1.22,2024-02-22,2025-10-04,577927.5
ATC-00014,BluePeak Advisory,Embedded,eSign,Annually,Active,USD,3800.0,9064,1.861,0.23,2022-02-18,2026-10-24,3800.0
ATC-00015,Ridgeline Health Plans,SaaS,eSign,Annually,Active,USD,63800.0,96174,0.645,1.15,2021-09-30,2026-01-29,86051.76
ATC-00016,Coastal Re Solutions,SaaS,Pronto2,Quarterly_in_arrears,Active,USD,14600.0,12483,1.179,2.76,2020-09-21,2026-01-25,54646.97
ATC-00017,Pinnacle Trust Services,On-Prem,On-Prem,Annually,Active,USD,234100.0,520527,0.299,0.91,2021-03-05,2026-10-02,274110.36
ATC-00018,Cirencester Benefits Ltd,SaaS,UK_AWS,Monthly,Active,GBP,32700.0,12105,0.645,1.04,2024-10-02,2027-01-04,36212.65
